split,content_char,target_font,content_font,l1,ssim,vgg
labels_val_unseen_font,k,apache_creepstercaps_CreepsterCaps-Regular,apache_syncopate_Syncopate-Regular,0.09795647859573364,0.8374297022819519,0.37511032819747925
labels_val_unseen_font,l,apache_creepstercaps_CreepsterCaps-Regular,ofl_almendradisplay_AlmendraDisplay-Regular,0.0917535275220871,0.8546515703201294,0.37511032819747925
labels_val_unseen_font,m,apache_creepstercaps_CreepsterCaps-Regular,apache_syncopate_Syncopate-Regular,0.2430598884820938,0.7000027894973755,0.37511032819747925
labels_val_unseen_font,n,apache_creepstercaps_CreepsterCaps-Regular,ofl_allkin_Allkin-Regular,0.1296815425157547,0.8064320683479309,0.37511032819747925
labels_val_unseen_font,o,apache_creepstercaps_CreepsterCaps-Regular,apache_crushed_Crushed-Regular,0.05779549106955528,0.8699865937232971,0.37511032819747925
labels_val_unseen_font,p,apache_creepstercaps_CreepsterCaps-Regular,apache_maidenorange_MaidenOrange-Regular,0.0831548199057579,0.8456680178642273,0.37511032819747925
labels_val_unseen_font,q,apache_creepstercaps_CreepsterCaps-Regular,apache_montez_Montez-Regular,0.1197538748383522,0.8262300491333008,0.37511032819747925
labels_val_unseen_font,r,apache_creepstercaps_CreepsterCaps-Regular,apache_opensanshebrew_OpenSansHebrew-ExtraBold,0.14915761351585388,0.8160384893417358,0.37511032819747925
labels_val_unseen_font,s,apache_creepstercaps_CreepsterCaps-Regular,apache_syncopate_Syncopate-Regular,0.10810570418834686,0.8404042720794678,0.37511032819747925
labels_val_unseen_font,t,apache_creepstercaps_CreepsterCaps-Regular,ofl_aboreto_Aboreto-Regular,0.0847824215888977,0.864578902721405,0.37511032819747925
labels_val_unseen_font,u,apache_creepstercaps_CreepsterCaps-Regular,apache_opensanshebrew_OpenSansHebrew-Bold,0.0882454514503479,0.8513666391372681,0.37511032819747925
labels_val_unseen_font,v,apache_creepstercaps_CreepsterCaps-Regular,apache_opensanshebrew_OpenSansHebrew-Bold,0.09185832738876343,0.8577573299407959,0.37511032819747925
labels_val_unseen_font,w,apache_creepstercaps_CreepsterCaps-Regular,ofl_amarante_Amarante-Regular,0.26279160380363464,0.692488431930542,0.37511032819747925
labels_val_unseen_font,x,apache_creepstercaps_CreepsterCaps-Regular,apache_walterturncoat_WalterTurncoat-Regular,0.09091144800186157,0.8458572626113892,0.37511032819747925
labels_val_unseen_font,y,apache_creepstercaps_CreepsterCaps-Regular,ofl_alegreyasc_AlegreyaSC-Bold,0.07981748878955841,0.8659930229187012,0.37511032819747925
labels_val_unseen_font,0,apache_creepstercaps_CreepsterCaps-Regular,apache_opensanshebrewcondensed_OpenSansHebrewCondensed-BoldItalic,0.0695074200630188,0.859628438949585,0.37511032819747925
labels_val_unseen_font,1,apache_creepstercaps_CreepsterCaps-Regular,ofl_aboreto_Aboreto-Regular,0.03623338043689728,0.9221558570861816,0.33246293663978577
labels_val_unseen_font,2,apache_creepstercaps_CreepsterCaps-Regular,ofl_amarante_Amarante-Regular,0.07314342260360718,0.8556762337684631,0.33246293663978577
labels_val_unseen_font,3,apache_creepstercaps_CreepsterCaps-Regular,apache_opensanshebrewcondensed_OpenSansHebrewCondensed-BoldItalic,0.08598663657903671,0.8612411022186279,0.33246293663978577
labels_val_unseen_font,4,apache_creepstercaps_CreepsterCaps-Regular,ofl_abeezee_ABeeZee-Italic,0.03810109198093414,0.9042971134185791,0.33246293663978577
labels_val_unseen_font,5,apache_creepstercaps_CreepsterCaps-Regular,apache_crushed_Crushed-Regular,0.10852502286434174,0.852020263671875,0.33246293663978577
labels_val_unseen_font,6,apache_creepstercaps_CreepsterCaps-Regular,apache_opensanshebrew_OpenSansHebrew-ExtraBold,0.13653138279914856,0.8193607330322266,0.33246293663978577
labels_val_unseen_font,7,apache_creepstercaps_CreepsterCaps-Regular,apache_opensanshebrew_OpenSansHebrew-Bold,0.057670239359140396,0.8826676607131958,0.33246293663978577
labels_val_unseen_font,8,apache_creepstercaps_CreepsterCaps-Regular,apache_fontdinerswanky_FontdinerSwanky-Regular,0.07664899528026581,0.8508310914039612,0.33246293663978577
labels_val_unseen_font,9,apache_creepstercaps_CreepsterCaps-Regular,apache_unkempt_Unkempt-Bold,0.059685640037059784,0.8801426291465759,0.33246293663978577
labels_val_unseen_font,A,apache_crushed_Crushed-Regular,ofl_alegreya_Alegreya_wght,0.15192720293998718,0.8281925916671753,0.33246293663978577
labels_val_unseen_font,B,apache_crushed_Crushed-Regular,ofl_abeezee_ABeeZee-Italic,0.13928647339344025,0.8174553513526917,0.33246293663978577
labels_val_unseen_font,C,apache_crushed_Crushed-Regular,ofl_alegreyasc_AlegreyaSC-Bold,0.1005198135972023,0.8609369993209839,0.33246293663978577
labels_val_unseen_font,D,apache_crushed_Crushed-Regular,ofl_alegreya_Alegreya_wght,0.1565416157245636,0.7989624738693237,0.33246293663978577
labels_val_unseen_font,E,apache_crushed_Crushed-Regular,apache_syncopate_Syncopate-Regular,0.10013769567012787,0.8499335646629333,0.33246293663978577
labels_val_unseen_font,F,apache_crushed_Crushed-Regular,ofl_allkin_Allkin-Regular,0.2151636779308319,0.7780691385269165,0.33246293663978577
labels_val_unseen_font,G,apache_crushed_Crushed-Regular,ofl_alegreyasc_AlegreyaSC-Bold,0.153151273727417,0.8185255527496338,0.33246293663978577
labels_val_unseen_font,H,apache_crushed_Crushed-Regular,apache_opensanshebrew_OpenSansHebrew-Bold,0.21415448188781738,0.7831439971923828,0.3745110034942627
labels_val_unseen_font,I,apache_crushed_Crushed-Regular,ofl_allkin_Allkin-Regular,0.2211146503686905,0.7605576515197754,0.3745110034942627
labels_val_unseen_font,J,apache_crushed_Crushed-Regular,apache_opensanshebrew_OpenSansHebrew-Bold,0.06164449453353882,0.8941903710365295,0.3745110034942627
labels_val_unseen_font,L,apache_crushed_Crushed-Regular,apache_montez_Montez-Regular,0.059726983308792114,0.8898699283599854,0.3745110034942627
labels_val_unseen_font,M,apache_crushed_Crushed-Regular,ofl_amarante_Amarante-Regular,0.25209715962409973,0.7288721799850464,0.3745110034942627
labels_val_unseen_font,N,apache_crushed_Crushed-Regular,ofl_alegreyasc_AlegreyaSC-Bold,0.1926354169845581,0.7729842662811279,0.3745110034942627
labels_val_unseen_font,O,apache_crushed_Crushed-Regular,apache_syncopate_Syncopate-Regular,0.15003526210784912,0.8113614320755005,0.3745110034942627
labels_val_unseen_font,P,apache_crushed_Crushed-Regular,apache_opensanshebrewcondensed_OpenSansHebrewCondensed-BoldItalic,0.10283727943897247,0.8539597988128662,0.3745110034942627
labels_val_unseen_font,R,apache_crushed_Crushed-Regular,ofl_aboreto_Aboreto-Regular,0.11634352803230286,0.8342618942260742,0.3745110034942627
labels_val_unseen_font,S,apache_crushed_Crushed-Regular,apache_walterturncoat_WalterTurncoat-Regular,0.07664769887924194,0.8628591299057007,0.3745110034942627
labels_val_unseen_font,T,apache_crushed_Crushed-Regular,ofl_almendradisplay_AlmendraDisplay-Regular,0.07364889979362488,0.8849086761474609,0.3745110034942627
labels_val_unseen_font,U,apache_crushed_Crushed-Regular,ofl_amaranth_Amaranth-Bold,0.16934143006801605,0.795298159122467,0.3745110034942627
labels_val_unseen_font,V,apache_crushed_Crushed-Regular,ofl_aboreto_Aboreto-Regular,0.14094074070453644,0.8293864130973816,0.3745110034942627
labels_val_unseen_font,W,apache_crushed_Crushed-Regular,apache_opensanshebrew_OpenSansHebrew-ExtraBold,0.2231084108352661,0.7532062530517578,0.3745110034942627
labels_val_unseen_font,Y,apache_crushed_Crushed-Regular,apache_fontdinerswanky_FontdinerSwanky-Regular,0.06513657420873642,0.8872258067131042,0.3745110034942627
labels_val_unseen_font,Z,apache_crushed_Crushed-Regular,apache_opensanshebrewcondensed_OpenSansHebrewCondensed-BoldItalic,0.11118997633457184,0.8453601598739624,0.3745110034942627
labels_val_unseen_font,a,apache_crushed_Crushed-Regular,ofl_alfaslabone_AlfaSlabOne-Regular,0.12731298804283142,0.8273292779922485,0.3822898864746094
labels_val_unseen_font,b,apache_crushed_Crushed-Regular,apache_montez_Montez-Regular,0.11269473284482956,0.8285281658172607,0.3822898864746094
labels_val_unseen_font,c,apache_crushed_Crushed-Regular,ofl_amaranth_Amaranth-Bold,0.0991094559431076,0.8718429207801819,0.3822898864746094
labels_val_unseen_font,d,apache_crushed_Crushed-Regular,ofl_almendradisplay_AlmendraDisplay-Regular,0.14731642603874207,0.801540732383728,0.3822898864746094
labels_val_unseen_font,e,apache_crushed_Crushed-Regular,apache_walterturncoat_WalterTurncoat-Regular,0.13218817114830017,0.8403892517089844,0.3822898864746094
labels_val_unseen_font,f,apache_crushed_Crushed-Regular,ofl_amarante_Amarante-Regular,0.07613968849182129,0.8826820850372314,0.3822898864746094
